"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Hilliard, Sam","656541","2024",,,,,,,,,76,,,,,,87,85,,,,
"Sánchez, Ali","645305","2024",,,,,,,,,17,,,,,,,6,,,,
"Blackmon, Charlie","453568","2024",27,37,20,17,46,26,21,2,32,5,77,55,80,43,72,52,,5,34,72
"Williams, Alika","675961","2024",,,,,,,,,41,,,,,,18,69,,,,
"Caminero, Junior","691406","2024",,,,,,,,,98,,,,,,,31,,,,
"Cooper, Garrett","643265","2024",,,,,,,,,59,,,,,,,34,,,,
"Turner, Justin","457759","2024",61,52,31,25,86,17,14,13,25,14,75,78,90,72,5,9,,1,72,99
"Manzardo, Kyle","700932","2024",,,,,,,,,58,,,,,,,16,,,,
"Heim, Jonah","641680","2024",8,18,23,30,6,37,32,43,58,39,70,15,68,21,,8,,22,77,39
"Madrigal, Nick","663611","2024",,,,,,,,,17,,,,,,36,55,,,,
"Kim, Ha-Seong","673490","2024",46,45,21,15,84,26,19,26,34,23,80,94,93,98,75,77,86,13,89,91
"Thomas, Alek","677950","2024",,,,,,,,,49,,,,,,56,65,,,,
"O'Hearn, Ryan","656811","2024",89,92,87,76,91,52,47,70,45,65,96,71,86,68,19,64,,58,85,63
"Harris, Brett","695391","2024",,,,,,,,,27,,,,,,28,48,,,,
"Call, Alex","669743","2024",,,,,,,,,34,,,,,,72,70,,,,
"Benintendi, Andrew","643217","2024",41,48,47,48,39,42,36,29,55,22,68,56,70,67,44,35,5,6,93,94
"Kiner-Falefa, Isiah","643396","2024",17,54,17,9,21,5,3,5,34,7,87,4,95,46,16,64,69,,,
"Torrens, Luis","620443","2024",,,,,,,,,43,,,,,,,35,,,,
"Trout, Mike","545361","2024",,,,,,,,,94,,,,,,45,90,,,,
"Taveras, Leody","665750","2024",25,35,27,27,24,29,21,53,62,29,54,45,40,43,91,82,89,39,53,39
"Schwarber, Kyle","656941","2024",93,55,91,93,95,93,93,98,97,98,12,99,10,94,,14,,99,37,13
"Adams, Riley","656180","2024",,,,,,,,,62,,,,,,,28,,,,
"Encarnacion-Strand, Christian","687952","2024",,,,,,,,,89,,,,,,,52,,,,
"Thaiss, Matt","642136","2024",,,,,,,,,57,,,,,,,5,,,,
"Young, Jacob","696285","2024",20,72,7,1,54,1,1,3,24,7,66,19,83,49,57,98,100,7,86,86
"Abreu, José","547989","2024",,,,,,,,,57,,,,,,,8,,,,
"Bryant, Kris","592178","2024",,,,,,,,,30,,,,,,,13,,,,
"Blanco, Dairon","680118","2024",,,,,,,,,30,,,,,,22,96,,,,
"Hernaiz, Darell","687231","2024",,,,,,,,,32,,,,,,14,60,,,,
"Beck, Jordan","687597","2024",,,,,,,,,77,,,,,,80,84,,,,
"McMahon, Ryan","641857","2024",69,45,62,63,77,81,78,92,87,92,14,88,15,63,49,18,92,60,19,63
"Stowers, Kyle","669065","2024",,,,,,,,,57,,,,,,73,69,,,,
"Bethancourt, Christian","542194","2024",,,,,,,,,71,,,,,,,55,,,,
"Martínez, Angel","682657","2024",,,,,,,,,22,,,,,,,54,,,,
"Mead, Curtis","678554","2024",,,,,,,,,84,,,,,,25,40,,,,
"Noel, Jhonkensy","678877","2024",,,,,,,,,97,,,,,,78,64,,,,
"Gallo, Joey","608336","2024",,,,,,,,,47,,,,,,5,28,,,,
"Frelick, Sal","686217","2024",12,48,2,1,49,1,1,1,21,1,86,51,98,70,69,93,89,3,91,86
"Casas, Triston","671213","2024",,,,,,,,,81,,,,,,9,1,,,,
"Mendick, Danny","664901","2024",,,,,,,,,37,,,,,,12,27,,,,
"Davis, J.D.","605204","2024",,,,,,,,,80,,,,,,,13,,,,
"Cameron, Daz","663662","2024",,,,,,,,,85,,,,,,82,79,,,,
"Ruiz, Keibert","660688","2024",12,48,23,16,10,17,10,5,34,4,99,2,98,5,,5,,3,98,72
"Doyle, Brenton","686668","2024",73,66,74,71,58,84,76,54,62,63,20,50,13,39,99,95,97,30,35,39
"McGuire, Reese","624512","2024",,,,,,,,,20,,,,,,,11,,,,
"Suárez, Eugenio","553993","2024",65,37,68,74,48,81,74,48,77,59,20,51,25,62,48,29,69,54,22,10
"Lee, Brooks","686797","2024",,,,,,,,,30,,,,,,28,15,,,,
"Nimmo, Brandon","607043","2024",75,37,54,58,89,69,59,87,74,84,35,95,53,81,61,68,68,71,39,52
"Hernández, Teoscar","606192","2024",74,43,86,89,45,95,92,75,89,81,13,49,5,48,75,84,3,68,8,13
"Rice, Ben","700250","2024",,,,,,,,,69,,,,,,2,55,,,,
"De La Cruz, Elly","682829","2024",69,34,68,76,61,89,86,89,94,77,7,73,8,63,90,100,99,88,31,52
"Martini, Nick","605361","2024",,,,,,,,,34,,,,,,,52,,,,
"Neto, Zach","687263","2024",61,37,65,68,46,66,55,33,76,37,43,27,35,31,76,74,5,30,63,72
"Malloy, Justyn-Henry","669234","2024",,,,,,,,,34,,,,,,,30,,,,
"García, Adolis","666969","2024",36,16,60,73,13,91,88,83,97,87,17,36,3,17,87,36,4,54,31,6
"Kirilloff, Alex","666135","2024",,,,,,,,,27,,,,,,40,37,,,,
"Biggio, Cavan","624415","2024",,,,,,,,,15,,,,,,13,81,36,,,
"Schneemann, Daniel","682177","2024",,,,,,,,,39,,,,,,96,76,51,,,
"García Jr., Luis","671277","2024",70,91,76,63,54,61,51,43,67,55,80,15,71,9,15,47,84,43,71,52
"Vargas, Miguel","678246","2024",,,,,,,,,69,,,,,,88,85,,,,
"Canzone, Dominic","686527","2024",,,,,,,,,65,,,,,,87,43,,,,
"Gonzalez, Romy","663853","2024",,,,,,,,,83,,,,,,30,91,,,,
"Grisham, Trent","663757","2024",,,,,,,,,32,,,,,,50,38,73,,,
"Alexander, Blaze","677942","2024",,,,,,,,,66,,,,,,90,85,,,,
"Taylor, Chris","621035","2024",,,,,,,,,41,,,,,,66,69,,,,
"Goodman, Hunter","696100","2024",,,,,,,,,94,,,,,,79,67,,,,
"Stott, Bryson","681082","2024",46,70,34,20,71,24,14,18,58,11,83,70,90,59,37,92,38,7,92,72
"Muncy, Max","571970","2024",,,,,,,,,60,,,,,,44,36,42,,,
"Goldschmidt, Paul","502671","2024",61,54,73,74,33,81,70,86,77,92,17,36,30,46,1,26,34,58,55,10
"Arcia, Orlando","606115","2024",2,6,9,24,3,37,26,39,34,38,50,32,34,58,63,14,89,30,67,6
"Seager, Corey","608369","2024",97,94,97,97,92,97,94,90,89,94,72,71,54,52,25,9,90,57,62,97
"Olson, Matt","621566","2024",71,37,73,79,62,90,82,86,91,83,25,67,35,43,24,11,79,79,4,39
"De La Cruz, Bryan","650559","2024",37,43,65,67,11,78,66,55,65,59,18,7,18,23,88,53,5,47,32,13
"Vaughn, Andrew","683734","2024",67,48,79,82,30,81,69,71,83,66,48,28,66,27,6,25,5,30,84,31
"Ozuna, Marcell","542303","2024",98,93,98,98,92,98,96,91,95,96,26,75,12,59,,14,,81,28,39
"Gurriel Jr., Lourdes","666971","2024",53,77,62,49,39,57,41,37,66,52,67,12,75,21,63,30,84,25,57,31
"Acuña Jr., Ronald","660670","2024",,,,,,,,,93,,,,,,89,61,,,,
"Grossman, Robbie","543257","2024",,,,,,,,,26,,,,,,47,62,,,,
"Laureano, Ramón","657656","2024",,,,,,,,,67,,,,,,92,63,,,,
"Meadows, Parker","678009","2024",,,,,,,,,60,,,,,,75,94,85,,,
"Freeman, Freddie","518692","2024",95,92,89,80,96,84,69,61,83,65,81,91,71,61,13,15,49,20,67,91
"Carlson, Dylan","666185","2024",,,,,,,,,29,,,,,,66,51,7,,,
"Torres, Gleyber","650402","2024",32,21,25,31,45,52,36,35,75,21,54,75,54,92,7,33,11,22,56,52
"Higashioka, Kyle","543309","2024",,,,,,,,,29,,,,,,,10,,,,
"Heyward, Jason","518792","2024",,,,,,,,,32,,,,,,82,41,,,,
"Hampson, Garrett","641658","2024",,,,,,,,,49,,,,,,41,99,95,,,
"Yepez, Juan","660766","2024",,,,,,,,,83,,,,,,25,33,,,,
"Bleday, JJ","668709","2024",56,45,55,57,62,74,57,39,89,25,68,74,43,76,82,61,18,50,65,52
